pid,artist,location,label,date,keywords,object_type,source,order,layout,collection,thumbnail,full,manifest
gy_016,"","",University of Guyana Library,2005-05-25,"",image,https://drive.google.com/file/d/1-5SKIe1hZEEW2eKCG-fz13zAD3EAkMh7/view?usp=drive_link,18,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_016/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_016/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_016/manifest.json
gy_017,"","","",2005-05-25,"",image,https://drive.google.com/file/d/1-9R9H0vqCedgQhqFxl7sgWaoHogHEnRP/view?usp=drive_link,19,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_017/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_017/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_017/manifest.json
gy_003,Someone,CRL,Parade Ground,2005-05-03,poilce,thesis,https://drive.google.com/file/d/1S8FQrUpAYxdJ1cMCoVCAG3f5DQ4Lo0dt/view?usp=sharing,2,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_003/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_003/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_003/manifest.json
gy_018,British Guiana,RSD,Civil Appeal No. 10,2005-05-27,Winston_Lalta_Wharton,vehicle_ccident,https://drive.google.com/file/d/1-y7f8rJiHIB2DAiClPs5UaUxsvJE11tP/view?usp=drive_link,20,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_018_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_018_00/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_018/manifest.json
gy_019,British Guiana,RSD,Civil Appeal No.9,2005-05-27,toolsie_persaud_durga_persaud,wages dispte,https://drive.google.com/file/d/1-pKFCf0VWvfpqr_whu-xXocJ647I1dS6/view?usp=drive_link,22,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_019_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_019_0/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_019/manifest.json
gy_020,British Guiana,RSD,Civil Appeal No.7,2005-05-27,ramroop_tiwari_jegessar,murder,https://drive.google.com/file/d/1-zqM9pITVP8wPL0ivUUcrSMPNxEUBj5X/view?usp=drive_link,23,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_020_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_020_00/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_020/manifest.json
gy_021,"","",UGDL,2005-07-16,"",Image,https://drive.google.com/file/d/10wxoPJbfSI3n1663tQ1gatt9qnRRTM5D/view?usp=sharing,23,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_021/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_021/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_021/manifest.json
gy_004,Someone,CRL,Sugar Estate,1970-08-09,surar_cane,book,https://drive.google.com/file/d/1ctS_83erzt3tpGJ-Eyae61eAP2ihCbFQ/view?usp=sharing,3,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_004/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_004/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_004/manifest.json
gy_005,Unknown,CRL,Church,1960-01-10,worship,staff paper,https://drive.google.com/file/d/1Az8cRba3BaerlTR5ZJRTAOP7bNRzILC-/view?usp=sharing,4,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_005/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_005/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_005/manifest.json
gy_006,Unknown,CRL,Hight Street,1950-10-12,street,staff paper,https://drive.google.com/file/d/1OoMfOKtDQEg6uOBenxBgnbqcncRHk3aD/view?usp=drive_link,5,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_006/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_006/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_006/manifest.json
gy_007,Unknown,CRL,Water Street,1960-11-13,georgetown,staff paper,https://drive.google.com/file/d/1VxxbDqDuaKKET-h3Ran3-C8kLvbopAf1/view?usp=sharing,6,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_007/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_007/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_007/manifest.json
gy_008,Unknown,CRL,Roman Cartholic,1940-11-14,church,staff paper,https://drive.google.com/file/d/1FIDouBH5JxeXNUYVbgDuCF2KvMzX0Rxf/view?usp=sharing,7,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_008/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_008/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_008/manifest.json
gy_009,Unknown,CRL,Military Hospital,1945-11-15,medical,book,https://drive.google.com/file/d/1oAq9M-btGhGlrZKzC7jtm1TwpxNgWzEm/view?usp=sharing,8,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_009/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_009/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_009/manifest.json
gy_010,Unknown,CRL,Royal Bank of Canada,1976-11-16,money,legal deposit,https://drive.google.com/file/d/1qdvi88l4wk_jKARJDWheYmQ28bBQGUYK/view?usp=sharing,9,UoG-Library-Digital-Collections_item,UoG-Library-Digital-Collections,"/img/derivatives/iiif/images/gy_010/full/250,/0/default.jpg","/img/derivatives/iiif/images/gy_010/full/1140,/0/default.jpg",/img/derivatives/iiif/gy_010/manifest.json
